⺀	⿱丶丶
㙱	⿱⿰⿱口丂虎土
㙲	⿰土⿱亠⿰乡隹
㙳	⿰土⿱⿵戌口心
㙴	⿰土⿸厃⿱儿言
㙵	⿰土⿱高土
㙶	⿳亠口⿱〾尚土
㙷	⿰土⿱日⿱⿰幺幺灬
㙸	⿰土⿰彳菐
㙹	⿰土⿳⿱艹罒冖夕
㙺	⿰土⿷匚⿱⿱中一貝
㙻	⿰土⿸广⿳里儿土
㙼	⿰土⿱田⿰田田
㙽	⿰土⿻大⿰⿱丆日⿱丆日
㙾	⿰土⿱⿱⿻𦥑爻冖子
㙿	⿰土⿱𦍌⿰⿱禾丂戈
㚀	⿰土⿰⿸虍豆戈
㚁	⿰⿱⿱土⿰土土兀⿱⿱土⿰土土兀
㚂	⿰土⿳⿻一中冖⿱⿱吅⿻龷一⿸匚𡿨
㚃	⿳士冖⿱⿶凵㐅䒑
㚄	⿳士冖⿱田疋
㚅	⿱夂⿱一生
㚆	⿱⿱亠日夂
㚇	⿱⿱⿶凵㐅儿夂
㚈	⿰夕十
㚊	⿰⿱夕夕亥
㚋	⿰⿱夕夕⿵用口
㚌	⿰⿱夕夕⿻甲⿱一人
㚍	⿰⿱夕夕⿱⿱中一貝
㚎	⿱大凵
㚏	⿱大廾
㚐	⿱大大
㚑	⿱彐大
㚒	⿻大⿰入入
㚓	⿱大木
㚔	⿱大⿱丷干
㚕	⿱大⿻弓⿰丿丨
㚖	⿱白大
㚘	⿰夫夫
㚙	⿱⿰力口大
㚚	⿱大⿱夕口
㚛	⿱大⿱匕日
㚜	⿱大⿹⿹戈口一
㚝	⿱大⿰亻⿱土土
㚞	⿱大⿰木木
㚟	⿱㲋大
㚠	⿱大⿱𦍌灬
㚡	⿰⿱大⿹丅口⿱大⿹丅口
㚢	⿰亻女
㚣	⿱女女
㚤	⿰女弋
㚥	⿰女⿱一⿻亅一
㚦	⿰女丌
㚧	⿰女广
㚨	⿰女卂
㚩	⿰女冄
㚪	⿰女毛
㚬	⿰女⿹勹二
㚭	⿰女⿺尢丶
㚮	⿰女⿱冖几
㚯	⿰女风
㚰	⿰女⿱⿸丆卜一
㚱	⿰女丘
㚳	⿰女⿰力口
㚴	⿰女⿸⿻丿一巾
㚵	⿰女⿱夂冫
㚶	⿰女㠯
㚷	⿰女⿱𠆢小
㚹	⿰女卯
㚻	⿱田女
㚼	⿰女田
㚽	⿱⿰工丂女
㚾	⿰女⿱口儿
㚿	⿰女⿱勹巳
㛀	⿰女⿱𠂊彐
㛁	⿰女⿻〾示一
㛂	⿰女〾厄
㛃	⿱⿰龶刀女
㛄	⿰女衣
㛅	⿰女耳
㛇	⿰女⿸广土
㛈	⿰女⿸耂丂
㛉	⿰女西
㛋	⿰女⿱人〾心
㛌	⿰女⿱厶牛
㛍	⿰女⿻大从
㛎	⿰女⿳口丿口
㛏	⿰女⿺⿻一氺丶
㛐	⿰女⿱一⿻臼人
㛑	⿱⿰歺又女
㛒	⿰女豆
㛓	⿰女⿱乂⿸⿻丿一巾
㛔	⿰女夆
㛕	⿰女邑
㛖	⿰女夋
