⺂	乛
亱	夜
亷	廉
仕	事
仚	仙
仭	刃
仮	𠆩
仾	低
伇	役
伍	五
伓	伾
伔	抌
伕	夫
伮	努
伱	你
伲	你
伳	侈
伵	侐
伷	胄
佀	似
佄	酣
佈	布
佊	彼
佚	逸
佡	仙
佦	佑
佫	𢓜
佱	法
佲	酩
侊	觥
侎	敉
侟	存
侢	戴
侫	佞
侽	男
俁	俣
俆	徐
俈	喾
俏	肖
俛	俯
俢	修
俲	效
俽	欣
倃	咎
倎	腆
倐	倏
倗	朋
倘	徜
倞	亮
倣	仿
値	值
倮	裸
倳	剚
倴	笨
倶	俱
倸	睬
倽	啥
倿	佞
偂	前
偘	侃
偝	背
偦	胥
偸	偷
偺	咱
偼	倢
傒	徯
傔	兼
傗	滀
傘	伞
傚	效
傟	慃
傠	伐
傦	愲
傯	偬
傶	腠
傹	竟
傿	鄢
僱	雇
僲	仙
僼	㒥
儍	傻
儛	舞
儞	你
兎	兔
兗	兖
兘	始
兠	兜
兲	天
兺	哛
兾	冀
冊	册
冝	宜
冞	深
冣	最
冦	寇
冨	富
冭	太
冴	冱
冸	泮
冺	泯
冾	洽
凁	𠘂
凂	浼
凈	净
凢	凡
凣	凡
凥	居
凴	凭
凾	函
刄	刃
刋	刊
別	别
刦	劫
刧	劫
刪	删
刯	剖
刴	剁
刼	劫
刾	刺
剌	拉
剎	刹
剝	剥
剢	斫
剬	制
剰	剩
剳	札
剻	䣙
劀	刮
劅	斀
劐	耠
劮	逸
勂	告
勄	敏
勈	勇
勌	勬
勎	勠
勓	劾
勱	劢
匃	丐
匄	丐
匇	匆
匔	匑
匛	柩
匞	匠
匟	炕
匢	匫
匥	笲
卂	迅
卄	廿
卋	世
卛	率
卥	西
卭	邛
卹	恤
卽	即
卾	腭
厀	膝
厃	危
厔	庢
厵	源
厷	宏
厺	去
収	收
叏	夬
叒	若
叜	叟
叝	彶
叞	尉
叨	饕
叿	䪦
吀	咩
吅	喧
吚	咿
吲	哂
吷	啜
吿	告
呅	吻
呌	叫
呑	吞
呝	呃
呡	抿
呩	嗜
呪	咒
咀	嘴
咁	甜
咊	和
咍	咳
咑	打
咷	啕
哶	咩
哸	嗺
哻	鼾
哾	啜
唃	唂
唅	含
唋	吐
唍	莞
唎	哩
唑	噬
唔	嗯
唕	唣
唙	嘀
唚	吣
啅	啄
啑	誱
啛	啐
啠	哲
啢	唡
啨	情
啫	嗜
喆	哲
喒	咱
喚	唤
喛	唤
喞	唧
喥	咤
喩	喻
喰	餐
喿	噪
嗁	啼
嗊	唝
嗞	咨
嗠	酪
嗨	咳
嗩	唢
嗸	嗷
嘅	慨
嘊	啀
嘋	哮
嘓	啯
嘵	哓
嘷	嗥
嘼	畜
嘽	啴
嘿	默
噄	吃
噏	吸
噐	器
