⺂	乛
噒	𦧴
噓	嘘
噕	噅
噖	吟
噝	咝
噢	喔
噣	啄
噥	哝
噵	道
噽	嚭
嚀	咛
嚅	吺
嚕	噜
嚖	嘒
嚜	嘛
嚞	哲
嚢	囊
嚦	呖
嚳	喾
嚶	嘤
嚾	唤
囁	嗫
囄	囃
囙	因
囝	囡
囸	日
囼	胎
圅	函
圇	囵
圏	圈
圑	圃
圝	圞
圡	土
圤	墣
圽	殁
圾	岌
坃	埙
坆	梅
坊	防
坓	型
坖	忌
坘	坻
坣	堂
坵	丘
坺	垡
垁	雉
垉	崩
垊	氓
垕	厚
垖	堆
垨	守
垵	埯
垺	郛
埀	垂
埑	哲
埓	埒
埗	埠
埛	坰
埜	野
埞	堤
埥	埩
埦	碗
埫	垧
埿	泥
堊	垩
堏	防
堗	突
堘	塍
堭	隍
堺	界
堿	碱
塐	塑
塒	埘
塖	岃
塟	葬
塠	堆
塧	隘
塱	㙟
墎	郭
墕	堰
墖	塔
増	增
墥	疃
墫	蹲
墱	磴
墴	隍
墸	躇
壀	埤
壂	殿
壃	疆
壄	野
壖	𤲬
壦	埙
壪	塆
夅	降
夌	凌
夑	燮
夒	猱
夓	夏
夘	夗
夛	多
夝	晴
夠	够
夳	太
夶	比
奙	畚
奜	斐
奟	㔙
她	姐
妅	娂
妉	媅
妬	妒
妷	侄
姉	姊
姙	妊
姢	娟
姤	妒
姫	姬
姸	妍
娚	嫐
娬	妩
婂	嬵
婏	嬔
婔	斐
婙	婧
婟	嫭
婷	娉
媆	嫩
媎	姐
媫	婕
媺	美
媼	媪
媿	愧
嫀	姺
嫓	媲
嫗	妪
嫟	昵
嫨	戁
嫮	嫭
嫰	嫩
嫲	嬷
嫵	妩
嫹	媌
嬃	媭
嬊	嬿
嬙	嫱
嬤	嬷
嬸	婶
嬺	昵
孒	孓
孖	滋
孠	嗣
孡	胎
孶	孳
孼	孽
宂	冗
宆	穹
宊	家
宍	肉
宐	宜
宑	井
宨	兆
宩	屎
宺	𡧽
宻	密
宼	寇
寈	青
寽	捋
導	导
尙	尚
尞	燎
尦	尥
尩	尪
屖	犀
屚	漏
屛	屏
屜	屉
屫	屩
屲	洼
屳	仙
岀	出
岅	坂
岆	崾
岤	穴
岥	坡
峊	阜
峋	嶙
峌	嵽
峜	法
峝	峒
峞	峗
峢	峛
峩	峨
峯	峰
崏	岷
崐	崑
崓	崮
崕	崖
崘	崙
崢	峥
崧	嵩
崪	崒
崫	崛
崯	崟
崳	榆
崻	峙
崼	嵽
嵆	嵇
嵎	隅
嵑	碣
嵓	岩
嵟	崔
嵠	溪
嵵	峙
嶉	崣
嶏	圮
嶐	隆
嶚	嶛
嶫	嶪
嶱	碣
嶳	地
嶴	岙
嶶	微
嶻	巀
巄	巃
巌	岩
巎	峱
巕	孽
巣	巢
巬	巭
巶	昭
巹	卺
帀	匝
帇	𦘒
帒	袋
帬	裙
帲	帡
幇	帮
幈	屏
幎	幂
幑	徽
幚	帮
幫	帮
庂	仄
庴	厝
庺	松
庻	庶
庽	寓
廄	厩
廘	鹿
廝	厮
廡	庑
廫	寥
廵	巡
廸	迪
廼	乃
弉	奘
弒	弑
弖	互
弝	把
弮	卷
強	强
弻	弼
彉	彍
彞	彝
彥	彦
徏	陟
徚	𢔅
徝	陟
徣	借
徤	健
徥	是
徰	征
徳	德
忁	儤
忂	躣
忈	仁
忎	仁
忢	悟
忣	急
忩	匆
忬	舒
忯	恀
忰	悴
忷	恟
忻	欣
怘	固
怣	尤
怱	匆
怳	恍
怸	悉
恆	恒
恉	旨
恌	佻
恓	凄
恖	思
恠	怪
恡	吝
恴	德
恷	恘
悊	哲
悋	吝
悐	惕
悑	怖
悤	匆
悥	意
悳	德
悽	凄
惏	婪
惒	和
惖	惕
惞	欣
惢	蕊
惪	德
惲	恽
愂	悖
愅	革
愖	忱
愘	恪
愙	恪
愞	懦
愡	憁
愢	偲
愰	晃
愱	嫉
愵	惄
愸	整
愼	慎
愽	博
慟	恸
慻	眷
慽	戚
慾	欲
憅	恸
憆	瞠
憇	憩
憑	凭
憓	譓
憘	喜
憙	喜
憜	惰
憞	憝
憳	忐
懃	勤
懄	慬
懍	懔
懨	恹
懯	怤
戞	戛
戨	𢎄
戩	戬
戹	厄
戼	卯
扄	扃
扗	在
扝	扜
扡	拖
扥	扽
扱	插
扷	拔
抂	枉
抅	拘
抙	捊
抜	拔
抝	拗
抭	舀
抲	荷
拀	柷
拋	抛
拕	拖
拝	拜
拞	抵
拺	策
拻	豗
挊	弄
挍	校
挏	恫
挐	拿
挗	抉
挘	毟
挵	弄
挷	搒
挼	挪
挿	插
捄	救
捌	八
捓	揶
捜	搜
捠	㙃
捥	腕
捦	擒
捵	抻
捾	搳
掋	抵
掖	腋
掜	拟
掟	定
掦	剔
掱	扒
掲	揭
掶	捷
掽	碰
掿	搦
揌	塞
揑	捏
換	换
揜	掩
揦	攋
揯	搄
揵	楗
揷	插
揹	背
搑	攮
搘	支
搚	拉
搟	攇
搱	雉
搵	揾
搷	伸
搼	拳
搾	榨
摉	搜
摢	摴
撆	撇
撉	撴
撎	揖
撐	撑
撗	横
撘	搭
撜	拯
撡	操
撦	扯
撯	擆
擑	接
擕	携
擝	掹
擡	抬
擨	揶
擬	拟
擮	截
擷	撷
擼	撸
攂	擂
攄	摅
攖	撄
攛	撺
攜	携
攟	捃
攡	摛
攨	搲
攱	庋
敄	劺
敆	合
敊	收
敒	伸
敟	典
敤	㪙
敨	㪗
敪	敠
敮	𢻗
敳	敱
敻	夐
斃	毙
斕	斓
斖	亹
斚	斝
斱	斫
斴	㔂
斵	斫
斻	航
斾	旆
斿	旒
旈	旒
旍	旌
旑	旖
旙	幡
旛	幡
旣	既
旽	暾
旾	春
旿	悟
昁	𥄱
昗	昃
昘	昉
昚	慎
昞	炳
昦	昊
昰	是
昸	冬
昺	炳
昻	昂
晇	旭
晍	曈
晘	旱
晣	晢
晥	皖
晩	晚
晳	晰
晻	暗
暎	胦
暏	曙
暒	晴
暭	暤
暯	暮
暱	昵
暿	熹
曁	暨
曍	皞
曐	星
曬	晒
曵	曳
曺	曹
朁	僭
朂	勖
朆	㬟
朇	裨
朑	屉
朖	朗
朙	明
朞	期
朤	朗
朩	𣎵
朶	朵
朿	刺
杄	櫏
杍	梓
杝	舵
杣	櫋
杬	芫
杭	航
杶	椿
杸	殳
枀	松
枊	昂
枋	柄
枎	柎
枏	楠
枒	丫
枝	支
枤	杕
枦	栌
枩	松
枬	栴
枾	柿
柁	舵
柂	舵
柗	松
柡	栐
柭	柫
柵	栅
柸	杯
柾	柩
栁	柳
栂	梅
栄	𦦗
栕	桭
栞	刊
栧	枻
桝	枡
桞	柳
桮	杯
桯	楹
桰	栝
桿	杆
梔	栀
梙	槵
梩	耜
梲	棁
梸	梨
棊	棋
棙	捩
棥	樊
椀	碗
椉	乘
椗	碇
椘	楚
椦	橳
椵	枷
椶	棕
椻	揠
楍	本
楑	揆
楡	榆
楥	楦
楧	柍
楨	桢
楳	梅
楻	艎
楿	桂
榋	帚
榍	屑
榏	艗
榘	矩
榟	梓
榲	榅
榿	桤
槆	橁
槈	耨
槑	梅
槒	慉
槓	杠
槕	桌
槡	桑
槤	梿
槦	榕
樁	桩
樌	灌
樔	巢
樬	棇
樭	棋
橊	榴
橓	蕣
橕	撑
橖	樘
橜	橛
橫	横
橮	柳
檅	槥
檆	杉
檇	槜
檘	枰
檚	楚
檱	棋
櫀	棋
櫁	榓
櫄	椿
櫈	凳
櫉	橱
櫌	耰
櫖	樗
櫘	槥
櫚	榈
櫞	橼
櫣	梿
櫥	橱
櫧	槠
櫫	橥
櫮	萼
櫱	蘖
欈	槜
欍	桕
欔	欋
欞	棂
欥	遹
欱	喝
歀	款
歋	揶
歑	呼
歖	喜
歝	斁
歬	前
歱	踵
歾	刎
歿	殁
毃	敲
毝	彩
毤	毻
毩	鞠
毴	屄
毺	毹
氎	㲲
氒	橛
氞	氝
氬	氩
氱	氧
氳	氲
氶	拯
氹	凼
氾	泛
汋	瀹
汒	茫
汓	泅
汖	𣎳
汣	氿
汦	坻
汫	阱
汬	阱
汵	淦
決	决
沀	汿
沗	添
沠	派
沲	沱
沵	濔
沶	坻
泈	汷
泎	渣
泑	釉
泘	滹
泟	浾
泭	桴
泴	盥
泿	垠
洂	液
洍	汜
洜	洛
洠	涘
洡	䣂
洤	泉
洩	泄
洷	㴛
浖	埒
浤	泓
浧	澄
浱	漘
涋	湥
涖	莅
涗	涚
涰	啜
涶	唾
涼	凉
淁	潗
淂	得
淉	祼
淍	周
淗	泦
淛	浙
淧	㴵
淩	凌
淸	清
淼	渺
淿	泊
渂	汶
渃	落
渇	渴
渉	涉
渏	漪
渓	溪
減	减
渟	汀
渧	啼
渪	濡
湇	湆
湊	凑
湌	餐
湐	洦
湗	葑
湞	浈
湧	涌
湪	渜
湬	湫
湭	泅
湶	泉
湷	𣻛
湹	瀍
湺	涎
湼	涅
溊	波
溋	盈
溙	汰
溛	窊
溨	渽
溬	㳾
溮	浉
溸	溯
滺	浟
漃	寂
漅	巢
漊	溇
漋	湰
漑	溉
漖	滘
漞	汨
漵	溆
潀	潨
潂	洪
潃	滫
潄	漱
潅	灌
潈	潨
潊	溆
潛	潜
潯	浔
潹	潺
潿	涠
澀	涩
澌	嘶
澓	洑
澘	潸
澙	潟
澟	凛
澦	滪
澷	漫
濅	浸
濐	渚
濓	濂
濪	㵾
濭	溘
濲	瀔
濳	潜
濻	瀢
濽	灒
瀏	浏
瀐	瀸
瀒	涩
瀓	澄
瀟	潇
瀥	滈
灄	滠
灋	法
灎	滟
灔	滟
灕	漓
灜	瀛
灥	泉
灮	光
灲	灱
灴	烘
灹	燠
灻	赤
炃	焚
炇	𤆝
炌	烗
炏	炎
炐	烽
炗	光
炘	焮
炚	光
炡	蒸
炤	昭
炧	灺
炨	灺
炿	烿
烎	㶣
烣	恢
烪	烄
烱	炯
烵	灼
烾	赤
焄	熏
焅	酷
焋	𣴣
焎	烲
焔	焰
焠	淬
焣	炒
焤	腐
焬	焲
焳	爝
焴	煜
焹	焵
焽	焸
焿	羹
煊	暄
煑	煮
煖	暖
煗	暖
煢	茕
煰	燥
煶	湜
煷	火
熅	煴
熋	熊
熍	焪
熖	焰
熢	烽
熦	爝
熫	炙
熴	焜
熶	爨
熿	煌
燇	焌
燑	烔
燓	焚
燛	煚
燯	爧
燲	熁
燳	照
燷	燣
燿	耀
爎	燎
爑	爝
爼	俎
牅	墉
牗	牖
牚	撑
牜	牛
牠	它
牨	犅
牿	梏
犇	奔
犫	犨
犲	豺
犾	㹜
犿	獾
狅	狂
猂	悍
猇	虓
猏	豜
猐	羌
猔	豵
猨	猿
猳	豭
猻	狲
猽	𧱴
獂	豲
獆	嗥
獉	榛
獋	嗥
獏	貘
獓	獒
獔	嗥
獘	毙
獧	狷
獪	狯
獫	猃
玅	妙
玜	玒
玧	璊
玵	玕
珎	𤪙
珟	玊
珡	琴
珪	圭
珻	玫
琒	峰
琕	玭
琗	璱
琘	珉
琝	珉
琣	琫
琹	琴
琺	珐
琾	玠
瑠	琉
瑲	玱
璄	璟
璍	烨
璡	琎
璭	琯
瓇	瑈
瓌	瑰
瓎	㻝
瓡	瓠
瓥	㼖
瓫	盆
瓾	窐
甁	瓶
甛	甜
甠	晴
甮	甭
甼	町
畁	畀
畄	留
畕	疆
畠	畑
畣	答
畧	略
畱	留
畺	疆
畻	塍
疅	疆
疩	瘁
疪	痹
疿	痱
痌	恫
痐	蛔
痜	秃
痳	淋
痵	悸
痺	痹
瘉	愈
瘔	苦
瘖	喑
瘞	瘗
瘶	嗽
瘺	瘘
瘻	瘘
癄	憔
癅	瘤
癆	痨
癇	痫
癏	瘝
癕	痈
癝	凛
癡	痴
癥	症
癭	瘿
癵	癴
皁	皂
皃	貌
皉	玼
皊	𤿅
皍	即
皐	皋
皥	皞
皨	星
皩	皝
皶	齇
皷	鼓
皻	齇
皼	鼓
盁	盈
盃	杯
盙	簠
盜	盗
盳	盲
盽	䀱
眀	明
眐	聇
眑	窅
眘	慎
眚	省
眤	昵
眰	眣
睂	眉
睄	瞧
睏	困
睒	鿃
睖	愣
睠	眷
睤	睥
瞆	瞶
瞉	怐
矁	瞅
矙	瞰
矟	槊
矤	矧
矦	侯
矵	砌
砂	沙
砆	玞
砕	碎
砛	玪
砤	砣
砨	砈
砫	柱
砶	珀
硃	朱
硊	峗
硑	砰
硓	栳
硔	谼
硥	蚌
硦	𥦌
硧	硐
硲	峪
碀	琤
碁	棋
碈	珉
碒	崟
碞	岩
碪	砧
碵	磌
磇	砒
磖	砬
磟	碌
磦	㟽
磧	碛
磮	碖
磰	墡
磸	碇
礂	嘻
礍	碣
礔	霹
礕	霹
礚	磕
礡	剥
礶	罐
礷	礛
祅	妖
祍	衽
祕	秘
祘	算
祙	魅
祬	祗
祮	祰
祳	脤
祵	捆
祶	禘
祿	禄
禆	裨
禐	褑
禑	祦
禙	褙
禝	稷
禞	祰
禣	膊
禥	祺
禩	祀
禿	秃
秏	耗
秔	粳
秮	秳
秴	耠
秼	袾
稁	稿
稅	税
稉	粳
稟	禀
稢	稶
稥	香
稧	禊
稬	糯
稲	稻
稸	蓄
稺	稚
稾	稿
穂	穗
穃	榕
穅	糠
穐	秋
穘	藃
穝	最
穤	糯
穵	挖
穻	宇
穽	阱
穾	窔
窂	牢
窉	寎
窓	窗
窚	宬
窛	寇
窪	洼
窰	䍃
窻	窗
窽	窾
竒	奇
竗	妙
竤	竑
竵	歪
竻	筋
竼	篷
竾	篪
笀	芒
笟	箍
笹	屉
笻	筇
筂	篪
筃	茵
筓	笄
筙	箂
筞	策
筩	筒
筺	筐
箆	篦
箈	苔
箌	罩
箎	篪
箒	帚
箟	箘
箥	笸
箱	厢
箲	筅
箷	椸
篏	嵌
篒	饐
篛	箬
篧	䉟
篲	彗
簆	筘
簈	箳
簒	篡
簔	蓑
簚	幭
簭	筮
簮	簪
簰	箄
簱	籏
簴	虡
簼	篝
籆	篗
籒	籀
籗	籱
籙	箓
籥	龠
籰	篗
籵	蹯
粇	粳
粈	糅
粓	泔
粚	黐
粫	糯
糃	糖
糉	粽
糛	糖
糡	糨
糥	糯
糭	粽
糱	糵
糼	功
糿	功
紁	衩
紣	綷
綑	捆
綨	綦
緕	纃
緥	褓
縃	胥
繝	𦅘
繠	蕊
繥	嬉
繺	𢅑
缷	卸
缼	缺
罁	缸
罋	瓮
罙	深
羀	罶
羄	罩
羏	翔
羐	羑
羙	羔
羣	群
羨	羡
羫	腔
羮	羹
翆	翠
翊	翌
翖	翕
翝	翃
翢	纛
翶	翱
耈	耇
耉	耇
耊	耋
耑	端
聏	恧
聓	婿
聟	婿
肈	肇
肊	臆
肎	肯
肔	胣
肞	杈
肧	胚
肬	疣
肳	吻
肹	肸
肻	肯
胟	拇
胢	髂
脄	脢
脣	唇
脨	𦠁
脫	脱
脴	痞
脺	脆
脿	膘
腁	胼
腗	脾
腳	脚
膁	肷
膃	腽
膄	瘦
膆	嗉
膐	膂
膔	膘
膖	胮
膫	膋
膬	脆
膸	髓
臋	臀
臕	膘
臙	胭
臝	裸
臥	卧
臵	𢓜
臷	耋
臹	修
舎	舍
舙	咠
舡	船
舩	船
舿	胯
艊	舶
艞	䑬
艠	筏
艵	頩
芁	艽
芌	芋
芓	茡
芔	卉
芖	笑
芲	花
芶	苟
苐	荑
苩	葩
苪	炳
苲	莋
苺	莓
苼	蕤
苿	菋
茀	福
茗	酩
茘	荔
茠	薅
茤	芰
茰	萸
荊	荆
荗	蒁
荢	茡
荳	豆
莵	菟
莾	莽
菍	棯
菓	果
菦	芹
菫	堇
菭	苔
菷	帚
萅	春
萆	蓖
萔	苕
萖	莞
萗	策
萞	蓖
萡	箔
萲	萱
葅	菹
葕	莚
蒃	篆
蒍	蔿
蒞	莅
蒣	稌
蓆	席
蓔	䅵
蓞	萏
蓤	菱
蓭	庵
蓳	堇
蔅	妍
蔆	菱
蔉	蓘
蔍	粗
蔐	荻
蔔	卜
蔲	蔻
蔾	藜
蕅	藕
蕋	蕊
蕌	藟
蕚	萼
蕫	董
蕵	薞
蕿	萱
薎	蔑
薭	稗
薶	埋
藌	蔤
藡	荻
藲	櫙
藳	稿
藸	蕏
蘃	蕊
蘌	篽
蘗	檗
蘤	花
蘲	蔂
蘴	葑
虁	夔
虥	虦
虵	蛇
蚃	蠁
蚄	蚌
蚇	蠌
蚉	蚊
蚒	彤
蚘	蛔
蚠	鼢
蚡	鼢
蚢	貥
蚦	蚺
蛌	㼊
蛍	𬠰
蛝	蚿
蛠	珕
蜄	蜃
蜋	螂
蜖	蛔
蜙	蚣
蜝	蜞
蜯	蚌
蜹	蚋
蜺	霓
蝃	螮
蝆	蛘
蝊	碇
蝨	虱
蝯	猿
蝷	蚸
螎	融
螙	蠹
螡	蚊
螾	蚓
蟁	蚊
蟇	蟆
蟚	蟛
蟝	螶
蟩	蟨
蟴	蟖
蟸	蠡
蠍	蝎
蠎	蟒
蠤	蟗
蠧	蠹
蠫	劙
蠴	薯
蠷	蠼
蠾	蠋
衂	衄
衉	喀
衊	蔑
衜	道
衟	道
衻	袡
袇	袡
袙	帕
袟	帙
袢	襻
袪	祛
被	披
袬	育
袵	衽
袿	褂
裦	褒
裧	幨
裭	褫
裵	裴
褁	裹
褃	裉
褏	袖
褔	副
褝	襌
褤	褑
褹	襼
褻	亵
襃	褒
襢	袒
襩	襡
覇	霸
覍	弁
觕	粗
觖	抉
觙	伋
觩	觓
觮	角
觵	觥
觹	觿
觽	觿
訅	訄
訋	召
訠	矧
訡	吟
訤	誵
訲	𠶷
詋	咒
誟	詨
諊	鞫
諮	谘
諵	喃
諽	革
謪	商
謿	嘲
譥	叫
譧	詀
譭	毁
讏	讆
谸	芊
豒	秩
豘	豚
豣	豜
豴	蹢
豽	貀
豿	狗
貋	豻
貐	㺄
貖	䧢
賉	恤
賋	皎
賐	䞊
赥	嘻
赮	霞
赱	走
赺	趛
赼	趑
趕	赶
趦	趑
趮	躁
跕	踮
跙	趄
跢	踟
跥	跺
跧	蜷
跴	踩
踅	茓
踋	脚
踘	鞠
踙	踂
踫	碰
踲	遁
踿	蹙
蹆	腿
蹏	蹄
蹓	遛
蹞	跬
蹧	糟
蹫	𧽻
蹬	登
蹵	蹴
蹷	蹶
躕	蹰
躖	䠪
躛	躗
躤	踖
躱	躲
躶	裸
躷	矮
躼	軂
軠	軖
軡	黔
輏	輶
輧	軿
輽	軬
轌	艝
辢	辣
辧	辨
辬	斑
込	迂
迃	迂
迆	迤
迠	建
迯	逃
迱	迤
迺	乃
逈	迥
逎	遒
逜	牾
逧	浴
逩	奔
逬	迸
週	周
逴	踔
逷	逖
遧	彰
遬	速
遻	遌
邫	邦
郉	邢
郌	邽
郍	那
郒	郎
郞	郎
郩	崤
郰	鄹
郶	部
郻	鄡
鄁	邶
鄥	鄡
鄧	邓
鄷	酆
酔	醉
酙	斟
酜	酺
酧	酬
酫	醛
酻	醉
醃	腌
醔	篘
醘	榼
醣	糖
醩	糟
醼	宴
醿	醾
釄	醾
釖	刀
釡	釜
釯	鋩
釶	匜
釸	矽
釻	釚
鈘	䰙
鈫	鈙
鈱	鍲
鉇	鍦
鉪	釱
鉫	枷
銄	扃
銇	錑
銉	肆
銰	砹
鋀	鍮
鋄	錽
鋺	碗
錀	𬬭
錉	鍲
錰	鉥
鍓	鏶
鍗	𨪉
鍢	鍑
鍸	瑚
鎆	剪
鎫	錽
鎺	鈨
鎼	罅
鎾	煴
鏀	鐪
鏛	鋿
鏫	錅
鐆	燧
鐛	䭘
鐟	鐕
鐷	鍱
鑗	錅
鑜	鋿
鑝	蓬
鑤	刨
鑧	鋧
鑻	襻
镼	䘿
闁	褒
闂	巷
闝	嫖
闣	鼞
阧	陡
阬	坑
阯	址
陗	峭
陥	陷
陫	厞
陱	鞠
隓	隳
隚	堂
隟	隙
隥	磴
隦	陴
隭	陑
隿	弋
雟	巂
雬	𩂆
雭	霫
雺	霿
雼	宕
霗	零
霝	零
霡	霢
霺	溦
霻	靊
靁	雷
靑	青
靕	正
靗	竀
靣	面
鞀	鼗
鞂	秸
鞉	鼗
鞌	鞍
鞛	琫
鞦	秋
鞩	鞘
鞵	鞋
鞹	鞟
韟	櫜
韥	韣
韼	韸
頾	髭
頿	髭
颳	刮
飜	翻
飡	餐
飱	飧
飳	𪌘
飸	饕
餻	糕
饄	糖
饍	膳
馫	馨
駇	馼
騡	駩
騨	驒
驇	騺
骩	骫
骪	骫
骳	膜
骻	胯
骽	腿
髃	腢
髄	髓
髆	膊
髈	膀
髙	高
髤	髹
髨	髡
鬍	胡
鬛	鬣
魊	蜮
魌	䫏
魕	禨
鰰	鱩
鱰	鱪
鲄	魺
鲒	鮚
鲓	鮳
鲔	鮪
鲕	鮞
鲘	鮜
鳫	雁
鴈	雁
鴏	玳
鴑	鴽
鴧	鴥
鴪	鴥
鵭	鳹
鷆	鷏
鷈	鷉
鷘	鶒
麄	粗
麊	麋
麏	麇
麙	羬
麢	羚
麿	縻
黒	黑
黙	默
黱	黛
黴	霉
鼑	鼎
鼔	鼓
鼝	鼘
鼡	鼠
鼦	貂
鼰	鼳
齀	鼿
齅	嗅
齨	𩢹
齫	齳
齶	腭
龡	吹
龧	曙
龱	四
龷	丘
龺	卓
鿆	祓
鿌	凉
鿎	䃮
鿑	珏
鿒	鿓
鿔	鎶
鿠	鿟
鿮	廗
鿯	黎
鿰	𬉧
鿴	鮗
鿵	𩷓
鿶	𩷕
鿷	𩹎
鿹	𬵨
鿺	𪄳
鿾	𡏅
更	更
滑	滑
金	金
喇	喇
奈	奈
裸	裸
洛	洛
烙	烙
珞	珞
落	落
酪	酪
卵	卵
拉	拉
廊	廊
朗	朗
浪	浪
狼	狼
郎	郎
冷	冷
老	老
路	路
露	露
碌	碌
祿	禄
菉	菉
鹿	鹿
弄	弄
牢	牢
磊	磊
雷	雷
漏	漏
陋	陋
勒	勒
肋	肋
凌	凌
菱	菱
丹	丹
怒	怒
率	率
磻	磻
便	便
泌	泌
索	索
塞	塞
省	省
若	若
掠	掠
略	略
亮	亮
凉	凉
梁	梁
良	良
量	量
黎	黎
力	力
年	年
劣	劣
咽	咽
裂	裂
廉	廉
念	念
令	令
囹	囹
玲	玲
羚	羚
聆	聆
零	零
例	例
醴	醴
僚	僚
尿	尿
料	料
燎	燎
蓼	蓼
阮	阮
杻	杻
柳	柳
流	流
琉	琉
留	留
硫	硫
六	六
崙	崙
律	律
栗	栗
率	率
隆	隆
利	利
吏	吏
履	履
易	易
梨	梨
泥	泥
理	理
痢	痢
罹	罹
里	里
匿	匿
吝	吝
璘	璘
麟	麟
林	林
淋	淋
立	立
笠	笠
粒	粒
炙	炙
什	什
茶	茶
刺	刺
度	度
糖	糖
洞	洞
行	行
降	降
兀	兀
嗀	嗀
﨑	崎
晴	晴
神	神
祥	祥
福	福
羽	羽
﨤	及
逸	逸
都	都
郞	郎
侮	侮
僧	僧
勉	勉
勤	勤
喝	喝
器	器
塀	塀
悔	悔
慨	慨
憎	憎
敏	敏
既	既
暑	暑
梅	梅
海	海
渚	渚
煮	煮
爫	爪
琢	琢
碑	碑
社	社
祉	祉
祈	祈
祐	祐
祖	祖
突	突
繁	繁
署	署
者	者
褐	褐
逸	逸
全	全
侀	侀
充	充
冀	冀
勇	勇
勺	勺
喝	喝
啕	啕
喙	喙
嗢	嗢
奔	奔
婢	婢
嬨	嬨
廒	廒
廙	廙
彩	彩
徭	徭
惘	惘
慎	慎
愈	愈
憎	憎
戴	戴
揄	揄
搜	搜
摒	摒
晴	晴
朗	朗
望	望
歹	歹
流	流
滋	滋
煮	煮
瞧	瞧
犯	犯
瑱	瑱
瘟	瘟
盛	盛
直	直
睊	睊
着	着
磌	磌
窱	窱
者	者
荒	荒
蝹	蝹
襁	襁
醙	醙
韛	韛
鬒	鬒
㮝	㮝
䀘	䀘
𥳐	𥳐
𧻓	𧻓
齃	齃
𠀁	七
𠀄	慧
𠀅	亥
𠀈	丘
𠀉	丘
𠀋	丈
𠀌	丘
𠀍	世
𠀏	屯
𠀑	天
𠀒	平
𠀔	孓
𠀕	亘
𠀘	天
𠀛	玉
𠀜	皿
𠀟	𣐺
𠀠	箕
𠀡	天
𠀣	七
𠀥	亘
𠀩	汀
𠀭	平
𠀮	箕
𠀰	多
𠀶	瓞
𠀸	夜
𠀹	君
𠀺	除
𠀼	夏
𠀾	𠁞
𠁁	𨪐
𠁈	君
𠁉	初
𠁊	爽
𠁒	假
𠁗	奭
𠁜	踊
𠁠	𢲶
𠁡	卜
𠁢	卜
𠁤	四
𠁦	中
𠁧	中
𠁩	中
𠁫	恘
𠁬	乖
𠁭	𠓪
𠁮	叔
𠁰	乖
𠁱	事
𠁲	阱
𠁵	𠁹
𠁷	丳
𠁼	伊
𠁽	丸
𠁿	丹
𠂀	甘
𠂁	丹
𠂈	𠄍
𠂏	奶
𠂑	奏
𠂓	幺
𠂗	州
𠂘	厄
𠂜	乏
𠂝	匝
𠂢	派
𠂤	追
𠂦	用
𠂨	窗
𠂩	氏
𠂬	厄
𠂭	必
𠂯	乖
𠂱	𤿙
𠂵	用
𠂷	幸
𠂸	凰
𠂹	垂
𠂺	思
𠂻	衷
𠂼	扂
𠂽	畏
𠂾	坯
𠂿	手
𠃀	垂
𠃁	魅
𠃂	坯
𠃄	愈
𠃇	年
𠃉	鳦
𠃋	肱
𠃒	也
𠃕	州
𠃜	嵋
𠃟	也
𠃢	四
𠃤	荒
𠃭	始
𠃲	截
𠃴	胤
𠃸	亄
𠃼	思
𠃽	慃
𠄇	酪
𠄈	亃
𠄎	乃
𠄏	屌
𠄐	亇
𠄒	垂
𠄓	州
𠄔	幻
𠄕	乃
𠄗	周
𠄘	承
𠄙	争
𠄞	上
𠄟	下
𠄠	二
𠄡	五
𠄢	亘
𠄣	亘
𠄨	恒
𠄭	亘
𠄰	老
𠄸	亟
𠄹	亟
𠄾	蓲
𠅃	亦
𠅄	亦
𠅅	末
𠅆	亥
𠅇	芒
𠅉	豆
𠅊	中
𠅋	率
𠅏	克
𠅑	弈
𠅔	克
𠅘	亭
𠅙	亮
𠅝	亭
𠅞	乘
𠅟	乘
𠅠	享
𠅡	克
𠅢	亳
𠅣	𡕧
𠅦	勉
𠅪	聒
𠅭	兜
𠅮	就
𠅯	赫
𠅰	彘
𠅷	享
𠅸	耄
𠅺	直
𠅽	𣄴
𠆀	享
𠆁	蓏
𠆂	衰
𠆅	褒
𠆆	𦎧
𠆋	𠆗
𠆏	衰
𠆐	逋
𠆓	𠆙
𠆔	堄
𠆕	𢆣
𠆖	𠆗
𠆘	裔
𠆚	衰
𠆜	𪗍
𠆟	亹
𠆠	亹
𠆡	爨
𠆢	人
𠆣	寡
𠆤	丁
𠆥	久
𠆦	乍
𠆧	途
𠆰	仉
𠆷	尬
𠆸	侮
𠆹	施
𠆺	伭
𠆿	𠌥
𠇆	𠇽
𠇈	仙
𠇉	攸
𠇊	途
𠇌	魂
𠇎	界
𠇐	伃
𠇒	供
𠇓	低
𠇜	施
𠇞	伎
𠇟	侅
𠇠	佅
𠇥	攸
𠇨	𠔎
𠇪	仵
𠇫	仵
𠇭	命
𠇮	命
𠇯	去
𠇳	失
𠇸	佐
𠇺	狎
𠇻	侐
𠇿	癶
𠈃	保
𠈄	宦
𠈆	倠
𠈇	夙
𠈈	佌
𠈉	侃
𠈋	戎
𠈎	侈
𠈐	伸
𠈑	光
𠈕	𠊰
𠈖	媵
𠈘	金
𠈙	俴
𠈡	佩
𠈢	怨
𠈣	老
𠈤	孕
𠈥	𠊰
𠈧	役
𠈪	媵
𠈫	媵
𠈮	企
𠈯	兵
𠈲	佸
𠈴	痴
𠈷	俾
𠈹	攸
